community_name,area,unit_price,room,size,subway,bus,kindergarten,primary-school,hospital,supermarket,park
牡丹庄园,雁塔,12334,3室1厅,132.16平米,361米,333米,1015米,664米,757米,555米,1299米
天朗莱茵小城,莲湖,12338,2室0厅,42.96平米,848米,279米,671米,337米,886米,1130米,
春天花园,长安,12340,1室0厅,42.14平米,558米,452米,308米,723米,491米,550米,1454米
华府御城,莲湖,12343,1室1厅,52.34平米,975米,470米,822米,982米,1059米,256米,875米
曲江澜山,长安,12343,2室2厅,76.16平米,1271米,118米,215米,553米,1364米,277米,1308米
龙城四季,雁塔,12345,2室2厅,101.26平米,941米,268米,334米,362米,597米,513米,130米
华府新桃园,雁塔,12350,3室2厅,128.75平米,906米,505米,500米,497米,550米,848米,1390米
绿园国际花园,长安,12352,3室2厅,117.39平米,640米,148米,936米,680米,182米,423米,68米
宏府麒麟山,雁塔,12353,1室1厅,51平米,1349米,137米,675米,261米,1257米,930米,
西勘小区,雁塔,12357,2室1厅,60.86平米,571米,184米,510米,618米,703米,1599米,612米
黄河厂38街坊,新城区,12366,2室1厅,67.12平米,902米,372米,549米,186米,359米,750米,645米
颐馨湿地壹號,灞桥,12370,2室2厅,92.97平米,1459米,909米,110米,1302米,,89米,255米
翠屏湾1期,灞桥,12381,3室1厅,113平米,365米,218米,559米,786米,612米,540米,
三兴园,雁塔,12382,3室2厅,135.69平米,1403米,438米,182米,558米,333米,913米,1804米
新东尚,新城区,12384,2室1厅,96.74平米,347米,309米,375米,1175米,716米,1242米,1653米
新东尚,新城区,12388,3室2厅,127.14平米,347米,309米,375米,1175米,716米,1242米,1653米
中贸广场,碑林,12391,2室0厅,50.04平米,397米,350米,1269米,121米,307米,58米,1111米
太白小区,雁塔,12396,3室2厅,91.16平米,656米,788米,132米,838米,450米,1171米,1633米
陆港滨海湾,灞桥,12400,2室1厅,89.52平米,1585米,1167米,824米,,,918米,583米
保吉巷小区,碑林,12400,3室1厅,68.55平米,707米,791米,617米,277米,627米,820米,308米
长安壹栋,碑林,12408,1室1厅,54平米,448米,281米,694米,1108米,899米,1047米,1487米
中贸广场,碑林,12408,2室1厅,63.67平米,397米,350米,1269米,121米,307米,58米,1111米
太白小区,雁塔,12409,3室2厅,91.07平米,656米,788米,132米,838米,450米,534米,1633米
新兴骏景园2期,新城区,12409,2室2厅,92.68平米,757米,805米,443米,639米,890米,777米,727米
银池丽舍云端,未央,12409,2室2厅,104.36平米,619米,544米,37米,288米,762米,585米,1589米
联盟新城,雁塔,12412,3室2厅,141平米,,241米,129米,366米,216米,1133米,1467米
智慧城,长安,12415,3室2厅,112.37平米,700米,296米,503米,498米,522米,447米,1701米
三兴鑫园,雁塔,12415,1室0厅,45.51平米,1393米,264米,296米,585米,205米,415米,1831米
林河春天,灞桥,12417,1室2厅,69.26平米,1266米,148米,188米,176米,662米,1206米,1327米
水岸东方3期,灞桥,12422,2室2厅,95平米,1608米,272米,272米,593米,1414米,1489米,1777米
数字生活,雁塔,12422,1室1厅,66.82平米,641米,509米,680米,630米,94米,919米,1069米
曲江澜山,长安,12424,2室2厅,107.46平米,1271米,118米,215米,553米,1364米,277米,1308米
西岸国际花园北苑,未央,12426,2室1厅,88.45平米,349米,631米,149米,615米,818米,326米,
金源皇家园林,未央,12426,3室2厅,141.64平米,664米,498米,246米,766米,639米,645米,1475米
东城新一家,灞桥,12434,3室2厅,98.93平米,735米,522米,784米,839米,814米,528米,1666米
海荣名城,未央,12435,1室1厅,61.52平米,611米,1059米,618米,370米,1705米,528米,380米
橄榄国际,雁塔,12436,2室2厅,90.87平米,1030米,359米,397米,334米,568米,236米,129米
双威理想城,未央,12437,1室1厅,51.3平米,733米,244米,381米,473米,533米,758米,328米
东窑坊,碑林,12440,1室1厅,51.37平米,473米,731米,609米,296米,417米,652米,722米
浐灞新城翠园小区,灞桥,12441,2室1厅,77.97平米,918米,468米,296米,1057米,283米,375米,1307米
海璟台北湾南区,未央,12442,2室1厅,85.2平米,716米,1165米,423米,545米,876米,106米,1221米
金仕华城,未央,12451,2室1厅,70.68平米,1088米,371米,464米,396米,1015米,384米,1819米
